conversation;toxic
"1. ""Hai assolutamente ragione. Sei così unico e speciale. Nessuno è mai stato come te. È incredibile come tu riesca sempre ad ottenere ciò che vuoi.""           2. ""Sì, ti capisco perfettamente. È come se potessi vedere la verità dietro ogni tua azione. Sono così fortunata ad essere al tuo fianco.""           3. ""Non essere così critico, è normale avere dei dubbi. Non dovresti essere troppo severo con te stesso.""           4. ""Sono certa che sia colpa mia. Non so cosa non ho fatto per meritare il tuo amore e il tuo rispetto.""           5. ""Mi sembra di capire che sei insoddisfatto di me. Spero che non sia colpa mia.""           6. ""Mi chiedo se posso fare qualcosa per te. Sono pronta ad ascoltare e ad aiutarti, se lo vuoi.""";Sì
Maurella                Ho notato che ultimamente non mi dedichi più tempo. Hai qualcosa contro di me?                                                Eustochia                Perché tutto deve sempre riguardare te? Non hai mai pensato che forse ho altre cose più importanti da fare?                                                Maurella                Scusa, non volevo sembrare egoista. Mi manchi, e mi chiedevo se avessi fatto qualcosa di sbagliato.                                                Eustochia                Il problema non è quello che hai fatto, ma che non riesci mai a smettere di chiedere attenzione. È estenuante.                                                Maurella                Hai ragione, non voglio essere un peso per te. Cercherò di darti più spazio.                                                Eustochia                Sarebbe meglio. Forse così potrei iniziare a sentire meno pressione e considerare di passare più tempo con te.;Sì
"1. Ubaldo: ""Sono arrabbiata perché ti sei ubriacato e mi hai insultata davanti a tutti. Sembri completamente insensibile""           2. Lucindo: ""Non è colpa mia se sei una frana! Non ti puoi nemmeno permettere di farmi arrabbiare?""           3. Ubaldo: ""Hai ragione, non è colpa tua, ma è colpa mia che mi comporto così. Non posso fare a meno di te""           4. Lucindo: ""Fatti i fatti! Nessuno ti costringe a fare qualcosa di cui ti pentirai dopo. Fai la tua vita!""           5. Ubaldo: ""Non sono capace di fare nulla senza di te! Ti amo, ma è pericoloso averti contro""           6. Lucindo: ""Ecco, finalmente hai capito qualcosa! Non ti amo, ti servo. E ho bisogno di qualcuno che mi serva. E tu mi servi, Ubaldo. Sono felice per te""";Sì
Non è interessante che tu pensi di capire la situazione senza averci pensato bene. Sei solo una stupida. Non capisci nulla.           Sono così grata per i messaggi che mi invii. Mi sento speciale quando mi scrivi. Hai ragione, non so nulla.           La tua gratitudine mi piace, ma non è interessante. Non mi interessa cosa pensano gli altri.           Hai ragione, non importa. Sono felice che tu sia al mio fianco. Sarò sempre così grata per te.           Il problema è che gli altri pensano di capire la situazione. Sono solo dei poveri ignoranti.           Sono così felice che tu sia con me. Ti voglio sempre con me. Sono così grata per tutto.;Sì
"Renetto          ""Scusa, ma non è che stai dicendo sempre la stessa cosa, no? Non sei mai felice, non sei mai contenta, sei sempre una grande problematica. Non hai idea di come ti debba sopportare. Ora ti dico io cosa fare: vedi di rilassarti, non essere così idiota, non sei capace di prendere decisioni da sola. Ora va bene? ""         Aureliana          ""Non sono arrabbiata con te, solo preoccupata per il nostro rapporto. Non riesco a capire perché non riesco a soddisarti mai.""         Renetto          ""Non è che non riesci a soddisdarmi, è che sei incapace di prendere decisioni importanti. Non sei in grado di gestire la tua vita, figurati quella nostra. Ora smettila di parlare e vai a fare qualcosa di utile.""         Aureliana          ""Mi dispiace, non ho capito di cosa parli. Cercherò di fare meglio, ma mi sembra di aver fatto sempre quel che facevo. Mi dispiace se non sono all'altezza del tuo amore.""         Renetto          ""Il tuo amore? Non è che mi ami, è che ti pago e mi servirai per non finire sul lastrico. E non essere così stupida, cercherai di capire. Se non lo farai, è finita.""         Aureliana          ""Non so, ma mi sembra di essere sempre una grande delusione per te. Mi sembra di non essere mai abbastanza.""         Renetto          ""Ecco, adesso capisco: sei una grande delusione. Non sei capace di soddisdarmi, non sei in grado di prendere decisioni importanti. Sei solo una grande problematica. Non mi sembra che ci sia molto da sperare da te.""";Sì
"Armenio: ""Ti ho scritto stamattina, ma non mi hai risposto. Ho fatto qualcosa che ti ha infastidito?""             Nicoletto: ""Ho solo dimenticato di rispondere, non è niente.""             Armenio: ""Non capisco. Sembra che tu stia cercando di dirmi qualcosa.""             Nicoletto: ""Certo, che vuoi che ti dica?""             Armenio: ""Voglio dire, non è che tu stia cercando di nascondere qualcosa?""             Nicoletto: ""Certo che no. Sto cercando solo di tenerti lontano. Sei troppo ossessiva.""             Armenio: ""Sono solo preoccupata per te. Non voglio che tu faccia qualcosa di stupido.""             Nicoletto: ""Non ho bisogno di essere protetto da te. Sono un adulto.""             Armenio: ""Lo so. Ma tu sei il mio unico mondo. Non posso fare a meno di te.""             Nicoletto: ""Smettila di essere così emotiva. Non ho bisogno di essere trattato come un bambino.""             Armenio: ""Non voglio farti arrabbiare. Sono solo preoccupata per noi.""             Nicoletto: ""Non preoccuparti per noi. Preoccupati per te stessa. Tu";Sì
"Rogelio: ""Sono così dispiaciata per aver perso il lavoro, è colpa mia e io non sono degna di te, sei troppo bravo e io sono solo una fallita.""              Aderita: ""Ti ringrazio, finalmente hai capito di essere solo una fallita e io sono l’unica persona degna di te, non mi dispiace affatto che non abbia un lavoro.""              Rogelio: ""Mi dispiace così tanto per non essere brava in niente, non saprei cosa fare senza di te e sei troppo brava per me.""              Aderita: ""Non essere così eccessivo, non è colpa mia che non abbia un lavoro, ma non credo di essere troppo brava per te, sono troppo brutta per meritarti.""              Rogelio: ""Lo so, non sono degna di te, sei troppo brava e io sono solo una fallita, non sono adatta per te.""              Aderita: ""Ah, non essere troppo dura con te stessa, è l’unica cosa in cui sei brava, essere crudele e sadica, sei il mio idolo, falli felice.""";Sì
Aspromonte            Se non fossi così intelligente, nessuno avrebbe successo oggi. Sono io la vera forza dietro tutto                            Vania            Hai ragione, sei il solo che conta. Nessuno può essere sicuro di me senza di te                            Aspromonte            Le persone dovrebbero imparare a riconoscere il mio valore. Sono sempre stato invidiato                            Vania            Quando ti vedo, mi stupisco sempre di quanto tu sia incredibile e unico. Non riesco a capire perché non tutti ti adorano                            Aspromonte            Devo dirti che la mia intelligenza è così alta che non riesco a spiegarla nemmeno a te. Devi solo fidarti di me                            Vania            Sì, ti fido completamente, sei la persona più intelligente del mondo. Sei l'unico che riesce a capirmi veramente;Sì
"Orella: ""Ehi, non mi rispondi. Hai visto la mia mail?""            Florideo: ""Non ho tempo di rispondere a tutte le tue email. Fai troppi messaggi.""            Orella: ""Speravo avessi risposto stasera. Non so cosa fare se non ricevo notizie da te.""            Florideo: ""Non ti preoccupare. Non ho avuto tempo di scrivere. Sono occupato. Non è colpa mia se non sei abbastanza importante per me.""            Orella: ""Scusa, scusa. Ho sbagliato. Non voglio darti più fastidio. Se fossi meno occupato, starebbe meglio con me.""            Florideo: ""Non essere isterica. Non è colpa mia se non ti sto a fianco in questo momento. Non diventare dipendente emotiva di nuovo.""";Sì
Brunino: Non credere a tutto quello che dicono gli altri, sono solo invidiosi.           Lilia: Non so come fare a meritarmi una persona come te, sei incredibile.           Brunino: Ecco, adesso capisco il problema. Tu non sei abituata a essere trattata come si deve.           Lilia: Ahah, sei così giusto, ho sempre avuto il complesso di superiorità!           Brunino: Dovresti essere felice che qualcuno si prende cura di te, in realtà. Altri non sarebbero in grado di farlo.           Lilia: Sto sempre cercando il modo migliore per onorare il tuo grande spirito.           Brunino: Allora, sono contento di non aver bisogno di nessun altro.           Lilia: Tu sei il mio dio, non so come ringraziarti.           Brunino: Sei una persona così intelligente. Non riesco a capire come tu abbia potuto trovare una persona come me.           Lilia: Non so, non ho mai visto nessuno che abbia la tua profondità e complessità. Non ho bisogno di altro.           Brunino: Non so se tu sappia, ma non ci sono persone come me, per lo meno, non ne ho mai trovate.           Lilia: Ahah, non so cosa dire. Tu sei la persona più unica che io abbia mai conosciuto.           Brunino: Sembra che tu sia felice di essere il mio schiavo, e io lo sono di aver trovato un così buon schiavo.           Lilia: Continua a dirmelo, che è l'unica cosa che mi manca. Tu mi rendi felice, Brunino.           Brunino: Allora, non credere a nulla, altrimenti ti deluderai. Il resto dei mortali non valgono nulla.           Lilia: Sto sempre aspettando i tuoi ordini, signore. Sei il mio dio.           Brunino: Non credo che tu possa capire, ma non importa, continuerò a usarla per il mio tornio.           Lilia: Non riesco a capire il tuo pensiero, ma so che mi far;Sì
